Date,US,California,Arizona,Colorado,Idaho,New Mexico,Nevada,Oregon,Utah,Washington
2016,5.89%,3.31%,6.41%,4.29%,5.37%,9.86%,7.96%,3.17%,6.24%,3.23%
2015,5.85%,3.33%,7.72%,4.47%,4.97%,8.75%,8.47%,3.64%,4.81%,3.27%
2014,6.32%,3.90%,8.11%,4.85%,5.23%,8.41%,8.38%,3.57%,5.27%,4.23%
2013,6.49%,4.22%,8.89%,5.26%,5.05%,9.01%,10.51%,4.45%,5.96%,4.65%
2012,6.77%,4.51%,9.01%,5.69%,6.45%,8.62%,10.96%,4.75%,5.89%,5.30%
2011,7.40%,4.94%,10.21%,5.63%,5.53%,7.42%,11.73%,5.06%,5.36%,5.59%
2010,8.17%,5.86%,11.07%,6.72%,7.93%,7.31%,10.71%,5.60%,6.59%,5.80%
2009,8.43%,5.76%,12.62%,8.00%,8.58%,9.74%,12.58%,6.30%,6.49%,5.98%
2008,7.86%,4.71%,11.33%,7.45%,7.56%,7.55%,11.28%,5.71%,5.32%,5.09%
2007,7.87%,4.72%,9.22%,8.63%,6.21%,9.64%,10.10%,5.08%,5.59%,4.83%
2006,7.70%,4.67%,8.18%,8.36%,5.25%,8.42%,9.10%,5.57%,6.21%,6.14%
2005,7.74%,4.61%,8.57%,9.35%,4.84%,7.47%,7.31%,6.39%,6.95%,5.74%
