Date,US_Rent,US_Value,California_Rent,California_Value,Arizona_Rent,Arizona_Value,Colorado_Rent,Colorado_Value,Idaho_Rent,Idaho_Value,New_Mexico_Rent,New_Mexico_Value,Nevada_Rent,Nevada_Value,Oregon_Rent,Oregon_Value,Utah_Rent,Utah_Value,Washington_Rent,Washington_Value
2016,981,204672,1375,466600,976,206775,1171,310525,790,191133,804,166625,1003,221450,1015,283308,954,255058,1135,303558
2015,959,193199,1311,435442,933,190583,1111,277542,770,177417,783,160783,980,202642,943,251592,925,236508,1080,272617
2014,934,184451,1268,407425,916,179883,1020,246842,755,168217,777,156033,955,185158,924,230658,886,223717,1032,251817
2013,905,175375,1224,363683,890,166933,971,228408,725,155533,772,153900,952,160150,887,211350,881,209333,989,235158
2012,884,166830,1200,310700,888,144333,934,212217,702,143867,753,154625,944,132267,862,194342,851,194375,954,218867
2011,871,168532,1174,310267,850,135050,900,206042,689,144408,729,160825,936,132042,840,195392,822,195875,930,223867
2010,855,176762,1163,332400,844,150267,863,214025,683,158342,699,172167,952,148083,816,214758,796,211750,908,245450
2009,842,182062,1155,342417,859,167808,851,217508,694,171900,680,177167,993,171217,819,228133,793,227775,911,261450
2008,824,196415,1135,408442,866,206833,848,223242,690,187700,668,183150,1011,230617,780,250333,784,243417,874,290367
2007,789,207668,1078,500808,819,247125,788,231575,654,190433,637,182642,980,289067,743,264550,733,230467,816,307050
2006,763,206754,1029,535025,762,265350,780,230658,623,181192,617,170025,917,315333,714,258600,697,195992,779,290842
2005,728,192815,973,503392,717,224517,757,223850,594,152742,587,150350,861,302117,689,214733,665,174717,741,250667
